0.54773,1.5005,-0.54773,0.25936,-0.22382,-0.10811
0.55168,1.4572,-0.53256,0.25492,-0.21876,-0.10785
0.55239,1.4117,-0.52527,0.24748,-0.21983,-0.10842
0.54662,1.366,-0.52278,0.24113,-0.21662,-0.10749
0.52884,1.3248,-0.5084,0.23695,-0.2108,-0.10526
0.5123,1.2847,-0.49373,0.23305,-0.20533,-0.10272
0.49658,1.2459,-0.47928,0.22922,-0.2001,-0.10007
0.48151,1.2082,-0.46515,0.2254,-0.19505,-0.097357
0.46696,1.1716,-0.45137,0.22159,-0.19013,-0.094593
0.45287,1.1361,-0.43795,0.2178,-0.18532,-0.091792
0.4392,1.1016,-0.42488,0.21402,-0.18059,-0.088965
0.42593,1.0682,-0.41217,0.21026,-0.17596,-0.086129
0.41308,1.0358,-0.39983,0.20649,-0.17142,-0.083304
0.40689,1.0879,-0.39604,0.22161,-0.1667,-0.070937
0.39632,1.0781,-0.38635,0.22144,-0.16193,-0.064947
0.38439,1.0456,-0.37479,0.21523,-0.15728,-0.061768
0.37282,1.0141,-0.36358,0.20923,-0.15284,-0.058751
0.36161,0.98359,-0.3527,0.20341,-0.14855,-0.055867
0.35074,0.95396,-0.34214,0.19774,-0.1444,-0.053104
0.3402,0.92523,-0.33189,0.19223,-0.14038,-0.050453
0.32998,0.89737,-0.32195,0.18686,-0.13647,-0.047908
0.32007,0.87034,-0.31231,0.18163,-0.13268,-0.045464
0.31046,0.84413,-0.30295,0.17654,-0.12901,-0.043118
0.30115,0.8187,-0.29388,0.17159,-0.12543,-0.040864
0.29211,0.79405,-0.28507,0.16677,-0.12196,-0.038701
0.28334,0.77013,-0.27653,0.16207,-0.11859,-0.036623
0.27484,0.74693,-0.26825,0.1575,-0.11531,-0.034629
0.26659,0.72444,-0.26021,0.15304,-0.11212,-0.032714
0.25859,0.70262,-0.25241,0.14871,-0.10903,-0.030878
0.25084,0.68146,-0.24485,0.14449,-0.10602,-0.029115
0.24331,0.66093,-0.23751,0.14039,-0.10309,-0.027425
0.23601,0.64103,-0.23039,0.1364,-0.10025,-0.025804
0.22893,0.62172,-0.22349,0.13251,-0.097488,-0.02425
0.22207,0.60299,-0.21679,0.12873,-0.094802,-0.022761
0.21541,0.58483,-0.21029,0.12505,-0.092191,-0.021334
0.20894,0.56722,-0.20399,0.12147,-0.089652,-0.019968
0.20268,0.55013,-0.19788,0.11799,-0.087184,-0.018659
0.1966,0.53357,-0.19195,0.1146,-0.084785,-0.017406
0.1907,0.5175,-0.18619,0.11131,-0.082452,-0.016207
0.18498,0.50191,-0.18061,0.10811,-0.080184,-0.015061
0.17943,0.48679,-0.1752,0.10499,-0.07798,-0.013964
0.17405,0.47213,-0.16994,0.10196,-0.075836,-0.012915
0.16883,0.45791,-0.16485,0.099021,-0.073752,-0.011914
